gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2611130949	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69703324/original.jpeg?1588013767	https://www.inaturalist.org/photos/69703324					2020-04-28T02:06:11Z	John P		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John P
2611130949	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69703434/original.jpeg?1588013781	https://www.inaturalist.org/photos/69703434					2020-04-28T02:06:44Z	John P		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John P
2611130949	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69703256/original.jpeg?1588013754	https://www.inaturalist.org/photos/69703256					2020-04-28T02:05:51Z	John P		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John P
2611123493	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68468720/original.jpeg?1587751641	https://www.inaturalist.org/photos/68468720					2020-04-24T22:05:44Z	marina_arbetman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marina_arbetman
2611123065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69109261/original.jpg?1587885118	https://www.inaturalist.org/photos/69109261					2020-04-24T21:30:31Z	wibbleaaa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wibbleaaa
2611123065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69109387/original.jpg?1587885176	https://www.inaturalist.org/photos/69109387					2020-04-24T21:30:34Z	wibbleaaa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wibbleaaa
2611121182	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70083631/original.jpg?1588122168	https://www.inaturalist.org/photos/70083631					2020-04-13T21:40:18Z	pseudosarcasm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pseudosarcasm
2611120951	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69775062/original.jpg?1588025358	https://www.inaturalist.org/photos/69775062					2020-04-28T03:06:00Z	umbertuccio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	umbertuccio
2611120951	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69775112/original.jpg?1588025366	https://www.inaturalist.org/photos/69775112					2020-04-28T03:02:05Z	umbertuccio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	umbertuccio
2611114853	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69173922/original.jpg?1587906198	https://www.inaturalist.org/photos/69173922					2020-04-26T12:01:33Z	sunrunner62		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sunrunner62
